#r              fw
0.000000e+00    0.000000e+00
1.000000e-02    2.074399e-04
2.000000e-02    5.848856e-04
3.000000e-02    1.128070e-03
4.000000e-02    1.832727e-03
5.000000e-02    2.694590e-03
6.000000e-02    3.709391e-03
7.000000e-02    4.872863e-03
8.000000e-02    6.180741e-03
9.000000e-02    7.628756e-03
1.000000e-01    9.212643e-03
1.100000e-01    1.092813e-02
1.200000e-01    1.277096e-02
1.300000e-01    1.473686e-02
1.400000e-01    1.682157e-02
1.500000e-01    1.902081e-02
1.600000e-01    2.133032e-02
1.700000e-01    2.374583e-02
1.800000e-01    2.626308e-02
1.900000e-01    2.887780e-02
2.000000e-01    3.158572e-02
2.100000e-01    3.438258e-02
2.200000e-01    3.726411e-02
2.300000e-01    4.022604e-02
2.400000e-01    4.326410e-02
2.500000e-01    4.637404e-02
2.600000e-01    4.955157e-02
2.700000e-01    5.279244e-02
2.800000e-01    5.609238e-02
2.900000e-01    5.944712e-02
3.000000e-01    6.285240e-02
3.100000e-01    6.630394e-02
3.200000e-01    6.979748e-02
3.300000e-01    7.332876e-02
3.400000e-01    7.689350e-02
3.500000e-01    8.048745e-02
3.600000e-01    8.410632e-02
3.700000e-01    8.774587e-02
3.800000e-01    9.140181e-02
3.900000e-01    9.506989e-02
4.000000e-01    9.874583e-02
4.100000e-01    1.028545e-01
4.200000e-01    1.082017e-01
4.300000e-01    1.141147e-01
4.400000e-01    1.207168e-01
4.500000e-01    1.280182e-01
4.600000e-01    1.360247e-01
4.700000e-01    1.447378e-01
4.800000e-01    1.541548e-01
4.900000e-01    1.642694e-01
5.000000e-01    1.750709e-01
5.100000e-01    1.865454e-01
5.200000e-01    1.986753e-01
5.300000e-01    2.114397e-01
5.400000e-01    2.248147e-01
5.500000e-01    2.387732e-01
5.600000e-01    2.532856e-01
5.700000e-01    2.683198e-01
5.800000e-01    2.838414e-01
5.900000e-01    2.998139e-01
6.000000e-01    3.161992e-01
6.100000e-01    3.329574e-01
6.200000e-01    3.500476e-01
6.300000e-01    3.674278e-01
6.400000e-01    3.850554e-01
6.500000e-01    4.028873e-01
6.600000e-01    4.208804e-01
6.700000e-01    4.389917e-01
6.800000e-01    4.571788e-01
6.900000e-01    4.754005e-01
7.000000e-01    4.936162e-01
7.100000e-01    5.117876e-01
7.200000e-01    5.298778e-01
7.300000e-01    5.478525e-01
7.400000e-01    5.656800e-01
7.500000e-01    5.833318e-01
7.600000e-01    6.007829e-01
7.700000e-01    6.180120e-01
7.800000e-01    6.350026e-01
7.900000e-01    6.517424e-01
8.000000e-01    6.682248e-01
8.100000e-01    6.844486e-01
8.200000e-01    7.004188e-01
8.300000e-01    7.161471e-01
8.400000e-01    7.316520e-01
8.500000e-01    7.469599e-01
8.600000e-01    7.621050e-01
8.700000e-01    7.771303e-01
8.800000e-01    7.920876e-01
8.900000e-01    8.070387e-01
9.000000e-01    8.220552e-01
9.100000e-01    8.372197e-01
9.200000e-01    8.526259e-01
9.300000e-01    8.683794e-01
9.400000e-01    8.845981e-01
9.500000e-01    9.014130e-01
9.600000e-01    9.189686e-01
9.700000e-01    9.374238e-01
9.800000e-01    9.569522e-01
9.900000e-01    9.784904e-01
1.000000e+00    9.968195e-01
1.010000e+00    1.013225e+00
1.020000e+00    1.029612e+00
1.030000e+00    1.045892e+00
1.040000e+00    1.061976e+00
1.050000e+00    1.077774e+00
1.060000e+00    1.093198e+00
1.070000e+00    1.108159e+00
1.080000e+00    1.122568e+00
1.090000e+00    1.136335e+00
1.100000e+00    1.149372e+00
1.110000e+00    1.161590e+00
1.120000e+00    1.172900e+00
1.130000e+00    1.183212e+00
1.140000e+00    1.192438e+00
1.150000e+00    1.200489e+00
1.160000e+00    1.207276e+00
1.170000e+00    1.212709e+00
1.180000e+00    1.216700e+00
1.190000e+00    1.219160e+00
1.200000e+00    1.220000e+00
1.210000e+00    1.220000e+00
1.220000e+00    1.220000e+00
1.230000e+00    1.220000e+00
1.240000e+00    1.220000e+00
1.250000e+00    1.220000e+00
